"","TripPurpose","Mode","Driver","Transfer","Gender","Age","Marriage","Occupation","EducationLevel","HHSize","HHChildren","HHWorker","HHIncome","HHCarOwnership","HHScooterOwnership","HHLicenses","HHScooterLicenses","PersonalCarLicense","ScooterLicense","Car_avail","Scooter_avail","LongDistTrain_avail","Taxi_avail","MRT_avail","Bus_avail","Bike_avail","Walk_avail","Cost_Car","Cost_Scooter","Cost_LongDistTrain","Cost_Taxi","Cost_MRT","Cost_Bus","Cost_Bike","Cost_Walk","TravelTime_Car","TravelTime_Scooter","TravelTime_LongDistTrain","TravelTime_Taxi","TravelTime_MRT","TravelTime_Bus","TravelTime_Bike","TravelTime_Walk","InVehTime_Car","InVehTime_Scooter","InVehTime_LongDistTrain","InVehTime_Taxi","InVehTime_MRT","InVehTime_Bus","InVehTime_Bike","InVehTime_Walk","OutOfVehTime_Car","OutOfVehTime_Scooter","OutOfVehTime_LongDistTrain","OutOfVehTime_Taxi","OutOfVehTime_MRT","OutOfVehTime_Bus","OutOfVehTime_Bike","OutOfVehTime_Walk","AETime_Car","AETime_Scooter","AETime_LongDistTrain","AETime_Taxi","AETime_MRT","AETime_Bus","AETime_Bike","AETime_Walk","WaitTime_Car","WaitTime_Scooter","WaitTime_LongDistTrain","WaitTime_Taxi","WaitTime_MRT","WaitTime_Bus","WaitTime_Bike","WaitTime_Walk","VOT_Car","VOT_Scooter","VOT_LongDistTrain","VOT_Taxi","VOT_MRT","VOT_Bus","VOT_Bike","VOT_Walk","InVehVOT_Car","InVehVOT_Scooter","InVehVOT_LongDistTrain","InVehVOT_Taxi","InVehVOT_MRT","InVehVOT_Bus","InVehVOT_Bike","InVehVOT_Walk","OutVehVOT_Car","OutVehVOT_Scooter","OutVehVOT_LongDistTrain","OutVehVOT_Taxi","OutVehVOT_MRT","OutVehVOT_Bus","OutVehVOT_Bike","OutVehVOT_Walk","Weight","City"
"103",1,2,1,0,0,2,0,10,3,5,0,2,50000,1,1,2,4,1,1,1,1,0,1,1,1,1,1,83.2695035460993,10,20,290,22.1,30,12.5,0,28.1276595744681,26,62.3571428571429,27.4,40.7613445378151,48.8934081346424,60.2666666666667,300,20,20,7.5,20,17.6470588235294,26.0869565217391,50,300,8.12765957446809,6,54.8571428571429,7.4,23.1142857142857,22.8064516129032,10.2666666666667,300,8.12765957446809,6,38.5714285714286,1.6,15.7142857142857,14.3548387096774,10.2666666666667,0,0,0,16.2857142857143,5.8,7.4,8.45161290322581,0,0,225.752907801418,135.76,352.646428571429,381.176,273.131226890756,245.350771388499,289.696,2358,161.869503546099,88.6,49.475,368.6,91.4529411764706,132.521739130435,209,0,63.8834042553192,47.16,303.171428571429,12.576,181.678285714286,112.829032258065,80.696,2358,1,4
"104",1,8,0,0,1,2,0,10,3,4,0,2,175000,1,0,3,0,1,0,1,0,0,1,1,1,1,1,54.2695035460993,6.01333333333333,0.666666666666667,48.3333333333333,17.8466666666667,15,2.5,0,8.79432624113475,8.29666666666667,55.1071428571429,8.06666666666667,23.8362493128092,23.6760168302945,11.9333333333333,10,0.666666666666667,0.666666666666667,0.25,0.666666666666667,0.588235294117647,0.869565217391304,1.66666666666667,10,8.12765957446809,7.63,54.8571428571429,7.4,23.2480140186916,22.8064516129032,10.2666666666667,10,8.12765957446809,7.63,38.5714285714286,1.6,19.3480140186916,14.3548387096774,10.2666666666667,0,0,0,16.2857142857143,5.8,3.9,8.45161290322581,0,0,120.772907801418,68.6051333333333,304.820595238095,63.5293333333333,202.887821559465,131.246423562412,89.746,78.6,56.8895035460993,8.63333333333333,1.64916666666667,50.9533333333333,20.158431372549,18.4173913043478,9.05,0,63.8834042553192,59.9718,303.171428571429,12.576,182.729390186916,112.829032258065,80.696,78.6,1.109,1
"105",1,5,0,0,0,2,0,10,4,4,0,3,90000,1,1,3,4,1,1,1,1,1,1,1,1,1,1,155.269503546099,39.68,68,890,50,100,20,0,76.1276595744681,75.63,80.3571428571429,75.4,89,111.502103786816,180.266666666667,1020,68,68,25.5,68,60,88.695652173913,170,1020,8.12765957446809,7.63,54.8571428571429,7.4,29,22.8064516129032,10.2666666666667,1020,8.12765957446809,7.63,38.5714285714286,1.6,25,14.3548387096774,10.2666666666667,0,0,0,16.2857142857143,5.8,4,8.45161290322581,0,0,486.392907801418,366.8918,471.386428571429,1169.816,513.74,561.402945301543,768.796,8017.2,422.509503546099,306.92,168.215,1157.24,285.8,448.573913043478,688.1,0,63.8834042553192,59.9718,303.171428571429,12.576,227.94,112.829032258065,80.696,8017.2,1,2
"106",1,2,1,0,0,2,0,10,3,5,2,4,30000,1,4,2,2,0,1,1,1,0,1,0,1,1,1,75.7695035460993,107.5,15,227.5,21,15,12.5,0,23.1276595744681,45,60.4821428571429,22.4,39.316854401335,42.3716690042076,47.7666666666667,225,15,15,5.625,15,13.2352941176471,19.5652173913043,37.5,225,8.12765957446809,30,54.8571428571429,7.4,26.0815602836879,22.8064516129032,10.2666666666667,225,8.12765957446809,30,38.5714285714286,1.6,21.613475177305,14.3548387096774,10.2666666666667,0,0,0,16.2857142857143,5.8,4.46808510638298,8.45161290322581,0,0,198.602907801418,402.25,340.277678571429,299.026,278.01576971214,204.720336605891,240.571,1768.5,134.719503546099,166.45,37.10625,286.45,73.0147058823529,91.8913043478261,159.875,0,63.8834042553191,235.8,303.171428571429,12.576,205.001063829787,112.829032258065,80.696,1768.5,1,2
"107",2,5,0,1,0,2,0,10,3,5,0,1,250000,2,1,4,2,1,0,1,1,1,1,1,1,1,1,104.269503546099,22.68,34,465,105,30,20,0,42.1276595744681,41.63,67.6071428571429,41.4,70,67.1542776998597,95.2666666666667,510,34,34,12.75,34,30,44.3478260869565,85,510,8.12765957446809,7.63,54.8571428571429,7.4,40,22.8064516129032,10.2666666666667,510,8.12765957446809,7.63,38.5714285714286,1.6,35,14.3548387096774,10.2666666666667,0,0,0,16.2857142857143,5.8,5,8.45161290322581,0,0,301.772907801418,216.2718,387.278928571429,611.196,537.3,317.115988779804,434.746,4008.6,237.889503546099,156.3,84.1075,598.62,222.9,204.286956521739,354.05,0,63.8834042553192,59.9718,303.171428571429,12.576,314.4,112.829032258065,80.696,4008.6,1,1
"109",2,8,0,0,1,2,0,10,3,3,0,0,5000,0,1,2,2,1,1,0,1,0,1,1,1,1,1,54.7695035460993,6.18,1,52.5,17.92,15,2.5,0,9.12765957446809,8.63,55.2321428571429,8.4,23.9966386554622,24.1107994389902,12.7666666666667,15,1,1,0.375,1,0.882352941176471,1.30434782608696,2.5,15,8.12765957446809,7.63,54.8571428571429,7.4,23.1142857142857,22.8064516129032,10.2666666666667,15,8.12765957446809,7.63,38.5714285714286,1.6,15.7142857142857,14.3548387096774,10.2666666666667,0,0,0,16.2857142857143,5.8,7.4,8.45161290322581,0,0,122.582907801418,70.0818,305.645178571429,69.006,203.065932773109,132.955119214586,93.021,117.9,58.6995035460993,10.11,2.47375,56.43,21.3876470588235,20.1260869565217,12.325,0,63.8834042553192,59.9718,303.171428571429,12.576,181.678285714286,112.829032258065,80.696,117.9,1.109,4
"110",2,5,0,1,1,2,0,10,4,3,0,2,250000,1,1,3,1,1,1,1,1,1,1,1,1,1,1,138.269503546099,34.0133333333333,56.6666666666667,748.333333333333,55,30,20,0,64.7943262411348,64.2966666666667,76.1071428571429,64.0666666666667,76,96.7194950911641,151.933333333333,850,56.6666666666667,56.6666666666667,21.25,56.6666666666667,50,73.9130434782609,141.666666666667,850,8.12765957446809,7.63,54.8571428571429,7.4,26,22.8064516129032,10.2666666666667,850,8.12765957446809,7.63,38.5714285714286,1.6,18,14.3548387096774,10.2666666666667,0,0,0,16.2857142857143,5.8,8,8.45161290322581,0,0,424.852907801418,316.685133333333,443.350595238095,983.609333333333,455.86,433.30729312763,657.446,6681,360.969503546099,256.713333333333,140.179166666667,971.033333333333,251.5,320.478260869565,576.75,0,63.8834042553191,59.9718,303.171428571429,12.576,204.36,112.829032258065,80.696,6681,1.109,1
"111",2,5,0,1,1,2,0,10,4,3,0,2,175000,0,1,3,3,1,1,0,1,0,1,1,1,1,1,133.169503546099,32.3133333333333,53.2666666666667,705.833333333333,75,30,20,0,61.3943262411347,60.8966666666667,74.8321428571429,60.6666666666667,87,92.2847124824684,143.433333333333,799,53.2666666666667,53.2666666666667,19.975,53.2666666666667,47,69.4782608695652,133.166666666667,799,8.12765957446809,7.63,54.8571428571429,7.4,40,22.8064516129032,10.2666666666667,799,8.12765957446809,7.63,38.5714285714286,1.6,35,14.3548387096774,10.2666666666667,0,0,0,16.2857142857143,5.8,5,8.45161290322581,0,0,406.390907801418,301.623133333333,434.939845238095,927.747333333333,574.11,415.878597475456,624.041,6280.14,342.507503546099,241.651333333333,131.768416666667,915.171333333333,259.71,303.049565217391,543.345,0,63.8834042553191,59.9718,303.171428571429,12.576,314.4,112.829032258065,80.696,6280.14,1.109,2
"112",2,5,0,1,0,2,0,10,4,5,0,4,50000,1,1,3,1,1,0,1,1,1,1,1,1,1,1,121.269503546099,28.3466666666667,45.3333333333333,606.666666666667,45,30,20,0,53.4609929078014,52.9633333333333,71.8571428571429,52.7333333333333,65,81.9368863955119,123.6,680,45.3333333333333,45.3333333333333,17,45.3333333333333,40,59.1304347826087,113.333333333333,680,8.12765957446809,7.63,54.8571428571429,7.4,25,22.8064516129032,10.2666666666667,680,8.12765957446809,7.63,38.5714285714286,1.6,20,14.3548387096774,10.2666666666667,0,0,0,16.2857142857143,5.8,5,8.45161290322581,0,0,363.312907801418,266.478466666667,415.314761904762,797.402666666667,398.7,375.211640953717,546.096,5344.8,299.429503546099,206.506666666667,112.143333333333,784.826666666667,202.2,262.382608695652,465.4,0,63.8834042553191,59.9718,303.171428571429,12.576,196.5,112.829032258065,80.696,5344.8,1,1
"113",2,6,0,0,1,1,0,10,1,2,0,2,50000,0,2,1,2,0,0,0,1,1,1,1,1,1,1,64.7695035460993,9.51333333333333,7.66666666666667,135.833333333333,19.3866666666667,12,2.5,0,15.7943262411348,15.2966666666667,57.7321428571429,15.0666666666667,30.3151135180658,29,29.4333333333333,115,7.66666666666667,7.66666666666667,2.875,7.66666666666667,6.76470588235294,10,19.1666666666667,115,8.12765957446809,7.63,54.8571428571429,7.4,23.5504076357129,19,10.2666666666667,115,8.12765957446809,7.63,38.5714285714286,1.6,19.0823225293299,16,10.2666666666667,0,0,0,16.2857142857143,5.8,4.46808510638298,3,0,0,158.782907801418,99.6151333333333,322.136845238095,178.539333333333,231.078164801017,200.64,158.521,903.9,94.8995035460993,39.6433333333333,18.9654166666667,165.963333333333,45.9719607843137,51.3,77.825,0,63.8834042553192,59.9718,303.171428571429,12.576,185.106204016703,149.34,80.696,903.9,8.855,2
"114",2,2,1,0,1,2,0,10,4,3,0,1,50000,0,1,2,3,1,1,0,1,0,1,1,1,1,1,72.7695035460993,6.5,13,202.5,20.56,15,12.5,0,21.1276595744681,20,59.7321428571429,20.4,34.7186022539857,39.7629733520337,42.7666666666667,195,13,13,4.875,13,11.4705882352941,16.9565217391304,32.5,195,8.12765957446809,7,54.8571428571429,7.4,23.2480140186916,22.8064516129032,10.2666666666667,195,8.12765957446809,7,38.5714285714286,1.6,19.3480140186916,14.3548387096774,10.2666666666667,0,0,0,16.2857142857143,5.8,3.9,8.45161290322581,0,0,187.742907801418,112.61,335.330178571429,266.166,248.368801951622,194.468162692847,220.921,1532.7,123.859503546099,57.59,32.15875,253.59,65.6394117647059,81.6391304347826,140.225,0,63.8834042553192,55.02,303.171428571429,12.576,182.729390186916,112.829032258065,80.696,1532.7,1.109,1
"115",1,5,0,0,0,2,0,3,3,4,0,2,250000,1,1,2,4,1,1,1,1,1,1,1,1,1,1,104.269503546099,22.68,34,465,35,30,20,0,42.1276595744681,41.63,67.6071428571429,41.4,52,67.1542776998597,95.2666666666667,510,34,34,12.75,34,30,44.3478260869565,85,510,8.12765957446809,7.63,54.8571428571429,7.4,22,22.8064516129032,10.2666666666667,510,8.12765957446809,7.63,38.5714285714286,1.6,20,14.3548387096774,10.2666666666667,0,0,0,16.2857142857143,5.8,2,8.45161290322581,0,0,301.772907801418,216.2718,387.278928571429,611.196,325.82,317.115988779804,434.746,4008.6,237.889503546099,156.3,84.1075,598.62,152.9,204.286956521739,354.05,0,63.8834042553192,59.9718,303.171428571429,12.576,172.92,112.829032258065,80.696,4008.6,1,2
"116",1,1,1,0,0,3,1,3,3,3,1,2,175000,2,1,2,2,1,1,1,1,0,1,1,1,1,1,45,20.68,30,415,24.3,30,20,0,37,37.63,66.1071428571429,37.4,49.7186022539857,61.9368863955119,85.2666666666667,450,30,30,11.25,30,26.4705882352941,39.1304347826087,75,450,7,7.63,54.8571428571429,7.4,23.2480140186916,22.8064516129032,10.2666666666667,450,7,7.63,38.5714285714286,1.6,19.3480140186916,14.3548387096774,10.2666666666667,0,0,0,16.2857142857143,5.8,3.9,8.45161290322581,0,0,217.92,198.5518,377.383928571429,545.476,311.058801951622,296.611640953717,395.446,3537,162.9,138.58,74.2125,532.9,128.329411764706,183.782608695652,314.75,0,55.02,59.9718,303.171428571429,12.576,182.729390186916,112.829032258065,80.696,3537,2.801,1
"117",1,8,0,0,0,2,0,3,3,3,0,3,125000,0,0,2,0,1,0,0,0,0,1,1,1,1,1,53.7695035460993,5.84666666666667,0.333333333333333,44.1666666666667,17.7733333333333,15,2.5,0,8.46099290780142,7.96333333333333,54.9821428571429,7.73333333333333,23.5421316657504,23.2412342215989,11.1,5,0.333333333333333,0.333333333333333,0.125,0.333333333333333,0.294117647058824,0.434782608695652,0.833333333333333,5,8.12765957446809,7.63,54.8571428571429,7.4,23.2480140186916,22.8064516129032,10.2666666666667,5,8.12765957446809,7.63,38.5714285714286,1.6,19.3480140186916,14.3548387096774,10.2666666666667,0,0,0,16.2857142857143,5.8,3.9,8.45161290322581,0,0,118.962907801418,67.1284666666667,303.996011904762,58.0526666666667,201.65860587319,129.537727910238,86.471,39.3,55.0795035460993,7.15666666666667,0.824583333333333,45.4766666666667,18.9292156862745,16.7086956521739,5.775,0,63.8834042553192,59.9718,303.171428571429,12.576,182.729390186916,112.829032258065,80.696,39.3,1,1
"118",1,5,0,1,0,4,0,3,3,3,0,2,50000,0,0,2,0,1,0,0,0,0,1,1,1,1,1,104.269503546099,22.68,34,465,25,30,20,0,42.1276595744681,41.63,67.6071428571429,41.4,53,67.1542776998597,95.2666666666667,510,34,34,12.75,34,30,44.3478260869565,85,510,8.12765957446809,7.63,54.8571428571429,7.4,23,22.8064516129032,10.2666666666667,510,8.12765957446809,7.63,38.5714285714286,1.6,20,14.3548387096774,10.2666666666667,0,0,0,16.2857142857143,5.8,3,8.45161290322581,0,0,301.772907801418,216.2718,387.278928571429,611.196,323.68,317.115988779804,434.746,4008.6,237.889503546099,156.3,84.1075,598.62,142.9,204.286956521739,354.05,0,63.8834042553192,59.9718,303.171428571429,12.576,180.78,112.829032258065,80.696,4008.6,3.536,1
"119",3,7,0,0,1,4,1,3,3,2,0,2,50000,1,0,2,2,1,1,1,0,0,1,1,1,1,1,59.2695035460993,7.68,4,90,18.58,15,0,0,12.1276595744681,11.63,56.3571428571429,11.4,26.7774257833975,28.0238429172511,10,60,4,4,1.5,4,3.52941176470588,5.21739130434783,10,60,8.12765957446809,7.63,54.8571428571429,7.4,23.2480140186916,22.8064516129032,10,60,8.12765957446809,7.63,38.5714285714286,1.6,19.3480140186916,14.3548387096774,10,0,0,0,16.2857142857143,5.8,3.9,8.45161290322581,0,0,138.872907801418,83.3718,313.066428571429,118.296,215.17997842221,148.333380084151,39.3,471.6,74.9895035460993,23.4,9.895,105.72,32.4505882352941,35.504347826087,39.3,0,63.8834042553191,59.9718,303.171428571429,12.576,182.729390186916,112.829032258065,0,471.6,2.93,1
"121",1,2,1,0,1,2,0,3,4,4,0,4,175000,1,2,3,3,1,1,1,1,0,1,1,1,1,1,98.2695035460993,15,30,415,24.3,30,20,0,38.1276595744681,45,66.1071428571429,37.4,49.7186022539857,61.9368863955119,85.2666666666667,450,30,30,11.25,30,26.4705882352941,39.1304347826087,75,450,8.12765957446809,15,54.8571428571429,7.4,23.2480140186916,22.8064516129032,10.2666666666667,450,8.12765957446809,15,38.5714285714286,1.6,19.3480140186916,14.3548387096774,10.2666666666667,0,0,0,16.2857142857143,5.8,3.9,8.45161290322581,0,0,280.052907801418,250.8,377.383928571429,545.476,311.058801951622,296.611640953717,395.446,3537,216.169503546099,132.9,74.2125,532.9,128.329411764706,183.782608695652,314.75,0,63.8834042553191,117.9,303.171428571429,12.576,182.729390186916,112.829032258065,80.696,3537,1.109,1
